iter	Passed	Remaining
573	19745	14654
574	19779	14619
575	19816	14587
576	19852	14553
577	19887	14520
578	19925	14487
579	19963	14456
580	19997	14421
581	20029	14385
582	20065	14351
583	20098	14316
584	20134	14283
585	20166	14247
586	20203	14214
587	20237	14180
588	20274	14147
589	20318	14119
590	20351	14084
591	20386	14050
592	20426	14019
593	20456	13981
594	20489	13946
595	20528	13915
596	20563	13881
597	20601	13849
598	20644	13820
599	20681	13787
600	20723	13757
601	20759	13724
602	20798	13692
603	20836	13660
604	20876	13630
605	20912	13596
606	20949	13563
607	20988	13532
608	21026	13499
609	21066	13468
610	21100	13433
611	21141	13403
612	21181	13372
613	21217	13338
614	21255	13306
615	21294	13274
616	21330	13240
617	21366	13207
618	21403	13173
619	21436	13138
620	21475	13106
621	21512	13073
622	21547	13039
623	21583	13005
624	21619	12971
625	21658	12939
626	21698	12908
627	21735	12875
628	21772	12842
629	21818	12814
630	21859	12783
631	21901	12752
632	21954	12728
633	21992	12695
634	22031	12663
635	22071	12631
636	22108	12598
637	22151	12568
638	22180	12531
639	22216	12496
640	22254	12463
641	22287	12428
642	22320	12392
643	22358	12359
644	22396	12326
645	22430	12291
646	22465	12257
647	22502	12223
648	22538	12189
649	22579	12158
650	22618	12125
651	22652	12090
652	22687	12055
653	22720	12020
654	22754	11985
655	22793	11952
656	22830	11918
657	22868	11885
658	22906	11853
659	22947	11821
660	22988	11789
661	23025	11756
662	23066	11724
663	23101	11689
664	23140	11657
665	23183	11626
666	23224	11594
667	23259	11559
668	23286	11521
669	23318	11485
670	23350	11449
671	23378	11411
672	23413	11376
673	23446	11340
674	23479	11305
675	23514	11270
676	23552	11236
677	23587	11202
678	23618	11165
679	23650	11129
680	23683	11094
681	23719	11059
682	23754	11025
683	23790	10991
684	23825	10956
685	23865	10923
686	23897	10887
687	23926	10850
688	23957	10814
689	23991	10778
690	24021	10742
691	24055	10706
692	24090	10672
693	24125	10637
694	24158	10601
695	24195	10568
696	24232	10534
697	24264	10498
698	24301	10464
699	24337	10430
700	24365	10392
701	24396	10356
702	24429	10320
703	24464	10286
704	24501	10252
705	24539	10218
706	24575	10184
707	24610	10150
708	24646	10115
709	24680	10080
710	24714	10045
711	24753	10012
712	24790	9978
713	24824	9943
714	24861	9909
715	24894	9874
716	24926	9838
717	24964	9805
718	25001	9771
719	25038	9737
720	25077	9704
721	25112	9669
722	25142	9632
723	25179	9598
724	25216	9564
725	25247	9528
726	25282	9493
727	25310	9456
728	25337	9418
729	25366	9382
730	25402	9347
731	25437	9313
732	25469	9277
733	25499	9241
734	25528	9204
735	25556	9166
736	25586	9130
737	25618	9094
738	25650	9059
739	25684	9024
740	25716	8988
741	25753	8954
742	25785	8919
743	25816	8882
744	25855	8849
745	25886	8813
746	25916	8777
747	25948	8742
748	25998	8712
749	26055	8685
750	26097	8652
751	26131	8617
752	26161	8581
753	26190	8545
754	26219	8508
755	26247	8471
756	26275	8434
757	26302	8397
758	26329	8360
759	26358	8323
760	26389	8287
761	26420	8251
762	26449	8215
763	26477	8178
764	26506	8142
765	26536	8106
766	26566	8070
767	26596	8034
768	26627	7998
769	26656	7962
770	26686	7926
771	26712	7889
772	26738	7852
773	26763	7814
774	26788	7777
775	26814	7740
776	26841	7703
777	26867	7666
778	26896	7630
779	26924	7594
780	26953	7557
781	26982	7522
782	27011	7486
783	27040	7450
784	27076	7415
785	27118	7383
786	27149	7347
787	27177	7311
788	27204	7275
789	27230	7238
790	27257	7201
791	27286	7166
792	27312	7129
793	27338	7092
794	27364	7056
795	27389	7019
796	27415	6982
797	27439	6945
798	27464	6909
799	27489	6872
800	27514	6835
801	27538	6798
802	27563	6762
803	27588	6725
804	27611	6688
805	27636	6651
806	27664	6616
807	27691	6580
808	27720	6544
809	27746	6508
810	27778	6473
811	27809	6438
812	27843	6404
813	27871	6368
814	27898	6332
815	27924	6296
816	27950	6260
817	27976	6224
818	28003	6188
819	28031	6153
820	28058	6117
821	28086	6081
822	28118	6047
823	28152	6013
824	28181	5977
825	28209	5942
826	28235	5906
827	28261	5870
828	28285	5834
829	28313	5799
830	28339	5763
831	28366	5727
832	28390	5691
833	28416	5656
834	28442	5620
835	28469	5584
836	28496	5549
837	28523	5514
838	28550	5478
839	28577	5443
840	28602	5407
841	28629	5372
842	28654	5336
843	28680	5301
844	28706	5265
845	28734	5230
846	28762	5195
847	28787	5159
848	28813	5124
849	28841	5089
850	28868	5054
851	28894	5019
852	28920	4983
853	28948	4949
854	28976	4914
855	29001	4878
856	29029	4843
857	29058	4809
858	29084	4774
859	29115	4739
860	29142	4704
861	29169	4669
862	29198	4635
863	29227	4600
864	29258	4566
865	29287	4531
866	29317	4497
867	29348	4463
868	29377	4428
869	29409	4394
870	29439	4360
871	29469	4325
872	29501	4291
873	29530	4257
874	29561	4223
875	29590	4188
876	29622	4154
877	29651	4120
878	29680	4085
879	29710	4051
880	29739	4016
881	29768	3982
882	29798	3948
883	29828	3914
884	29856	3879
885	29884	3845
886	29912	3810
887	29940	3776
888	29969	3742
889	29997	3707
890	30024	3673
891	30050	3638
892	30078	3604
893	30105	3569
894	30133	3535
895	30162	3501
896	30192	3466
897	30226	3433
898	30255	3399
899	30285	3365
900	30315	3330
901	30347	3297
902	30376	3263
903	30404	3228
904	30432	3194
905	30463	3160
906	30495	3126
907	30523	3092
908	30552	3058
909	30580	3024
910	30608	2990
911	30634	2955
912	30659	2921
913	30685	2887
914	30712	2853
915	30740	2819
916	30768	2784
917	30798	2751
918	30826	2717
919	30853	2682
920	30883	2649
921	30911	2615
922	30940	2581
923	30968	2547
924	30998	2513
925	31030	2479
926	31060	2445
927	31089	2412
928	31118	2378
929	31146	2344
930	31175	2310
931	31206	2276
932	31235	2243
933	31260	2209
934	31288	2175
935	31314	2141
936	31341	2107
937	31368	2073
938	31395	2039
939	31420	2005
940	31447	1971
941	31473	1937
942	31502	1904
943	31527	1870
944	31554	1836
945	31581	1802
946	31608	1768
947	31634	1735
948	31661	1701
949	31687	1667
950	31714	1634
951	31740	1600
952	31767	1566
953	31794	1533
954	31823	1499
955	31852	1466
956	31883	1432
957	31910	1399
958	31938	1365
959	31964	1331
960	31990	1298
961	32019	1264
962	32045	1231
963	32071	1197
964	32099	1164
965	32125	1130
966	32150	1097
967	32176	1063
968	32204	1030
969	32231	996
970	32261	963
971	32292	930
972	32321	896
